Answer key for test.csv (200 rows) - regenerated against the current
pipeline after fixing timestamp routing: stage 2 (hygiene_check) now
checks Timestamp SHAPE only; stage 3 (fine_filter) judges calendar
validity and reports it as 'incorrect_timestamp' (structurally fine,
logically wrong), separate from stage 2's 'malformed_timestamp'
(structurally broken).
row_id = 0-indexed data row (CSV line number = row_id + 2)
====================================================================================================

--- Section 1: rows 0-99 (original hand-built hygiene test set) ---

row_id  csv_line  label                                 actual_pipeline_result
------------------------------------------------------------------------------------------
2       4         malformed_transaction_id              stage2:malformed_transaction_id
13      15        malformed_timestamp_wrong_format      stage2:malformed_timestamp
18      20        malformed_amount                      stage2:malformed_amount
43      45        jan_32_day_exceeds_31                 stage3:incorrect_timestamp
47      49        invalid_transaction_type              stage2:invalid_transaction_type
52      54        empty_row                             stage2:empty_row
65      67        invalid_transaction_type              stage2:invalid_transaction_type
70      72        empty_row                             stage2:empty_row
90      92        malformed_account_id                  stage2:malformed_account_id
96      98        malformed_amount                      stage2:malformed_amount
97      99        malformed_account_id                  stage2:malformed_account_id
98      100       malformed_transaction_id              stage2:malformed_transaction_id

Section 1 totals: clean=86, stage2 flagged=11, stage3 flagged=3
(Note: 'jan_32_day_exceeds_31' (row 43) moved from stage2 to stage3
 under the new routing - it's calendar-invalid, not shape-invalid.)

--- Section 2: rows 100-199 (stage 3 rule coverage batch) ---

category: timestamp = calendar-logic case, amount = std-dev case, valid = clean filler

row_id  csv_line  category   label                                        actual_pipeline_result
198     200       valid      clean_row                                    clean (passed to stage 4)
199     201       valid      clean_row                                    clean (passed to stage 4)
200	202	  timestamp  feb_06_2027_future_date
201	203	  timestamp  aug_30_2026_future_date
202	204	  timestamp  feb_30_exceeds_28

Section 2 totals: clean=86, stage2 flagged=3, stage3 flagged=11

====================================================================================================
Grand totals (all 200 rows)
  clean (passed to stage 4):        172
  stage 2 flagged (hygiene_check):  14
  stage 3 flagged (fine_filter):    14

stage 2 reasons:
  malformed_timestamp: 4
  malformed_transaction_id: 2
  malformed_amount: 2
  invalid_transaction_type: 2
  empty_row: 2
  malformed_account_id: 2

stage 3 reasons:
  incorrect_timestamp: 8
  amount_outlier: 6


====================================================================================================
SECTION 3: Stage 4 (LLM) six-question review test cases
====================================================================================================
27 previously-valid, non-rapid-succession rows were replaced in place (total row count
unchanged) to exercise each of the six stage 4 questions. Every question is phrased so
"yes" = a flag/anomaly signal; keys not listed as "yes" below are expected "no".
row_id = 0-indexed data row (CSV line number = row_id + 2)

row_id  csv_line  description                                                        suspicious_name             not_real                    too_vague                   suspicious_purchase_amount  suspicious_category         transaction_type_mismatch   
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0       2         suspicious merchant name 'xk29qz'                                  yes                         no                          no                          no                          no                          no                          
1       3         suspicious merchant name 'fjbqwlz1'                                yes                         no                          no                          no                          no                          no                          
3       5         suspicious merchant name '3847xk1'                                 yes                         no                          no                          no                          no                          no                          
5       7         suspicious merchant name 'zzq847x1'                                yes                         no                          no                          no                          no                          no                          
7       9         plausible merchant name 'Metal Shop' (negative control)            no                          no                          no                          no                          no                          no                          
9       11        plausible merchant name 'Food Delivery' (negative control)         no                          no                          no                          no                          no                          no                          
10      12        plausible merchant name 'Industrial Supply Co' (negative control)  no                          no                          no                          no                          no                          no                          
11      13        fictional location 'Narnia'                                        no                          yes                         no                          no                          no                          no                          
12      14        fictional location 'Terraria'                                      no                          yes                         no                          no                          no                          no                          
16      18        fictional location 'Atlantis'                                      no                          yes                         no                          no                          no                          no                          
19      21        fictional location 'Gotham City'                                   no                          yes                         no                          no                          no                          no                          
20      22        vague location 'England' (country, not city)                       no                          no                          yes                         no                          no                          no                          
22      24        vague location 'Japan' (country, not city)                         no                          no                          yes                         no                          no                          no                          
23      25        vague location 'Germany' (country, not city)                       no                          no                          yes                         no                          no                          no                          
25      27        vague location 'Brazil' (country, not city)                        no                          no                          yes                         no                          no                          no                          
27      29        implausible category 'Healthcare'                                  no                          no                          no                          no                          yes                         yes                         
28      30        implausible category 'Animal Supplies'                             no                          no                          no                          no                          yes                         yes                         
30      32        implausible category 'Cosmetics'                                   no                          no                          no                          no                          yes                         yes                         
31      33        implausible category 'Toys'                                        no                          no                          no                          no                          yes                         yes                         
32      34        type/category mismatch: Withdrawal + 'Raw Materials'               no                          no                          no                          no                          no                          yes                         
33      35        type/category mismatch: Transfer + 'Cash'                          no                          no                          no                          no                          no                          yes                         
34      36        type/category mismatch: Purchase + 'Internal'                      no                          no                          no                          no                          no                          yes                         
35      37        type/category mismatch: Withdrawal + 'Components'                  no                          no                          no                          no                          no                          yes                         
36      38        implausibly large cash withdrawal ($96,500.00)                     no                          no                          no                          yes                         no                          no                          
39      41        implausibly large cash withdrawal ($91,200.00)                     no                          no                          no                          yes                         no                          no                          
40      42        implausibly large cash withdrawal ($88,750.00)                     no                          no                          no                          yes                         no                          no                          
41      43        implausibly large cash withdrawal ($99,900.00)                     no                          no                          no                          yes                         no                          no                          

All 27 rows confirmed clean through stage 2/3 and NOT part of a rapid_succession_group
(verified against live pipeline output at generation time).
